"Datetime","Date","Time","Flag","Height","AboveJL","Baitsbite","Rain"
"23/02/2024 13:00:00","23/02/2024","13:00:00","Yellow","4.36","0.723","0.25","0"
"23/02/2024 14:00:00","23/02/2024","14:00:00","Yellow","4.36","0.719","0.253","0"
"23/02/2024 15:00:00","23/02/2024","15:00:00","Yellow","4.36","0.716","0.247","0"
"23/02/2024 16:00:00","23/02/2024","16:00:00","Yellow","4.35","0.716","0.248","0"
"23/02/2024 17:00:00","23/02/2024","17:00:00","Yellow","4.35","0.716","0.248","0"
"23/02/2024 18:00:00","23/02/2024","18:00:00","Yellow","4.34","0.715","0.251","0.03"
"23/02/2024 19:00:00","23/02/2024","19:00:00","Yellow","4.34","0.715","0.252","0.05"
"23/02/2024 20:00:00","23/02/2024","20:00:00","Yellow","4.34","0.715","0.252","0.01"
"23/02/2024 21:00:00","23/02/2024","21:00:00","Yellow","4.34","0.714","0.251","0"
"23/02/2024 22:00:00","23/02/2024","22:00:00","Yellow","4.33","0.721","0.249","0"
"23/02/2024 23:00:00","23/02/2024","23:00:00","Yellow","4.34","0.728","0.251","0"
"24/02/2024 00:00:00","24/02/2024","00:00:00","Yellow","4.34","0.728","0.251","0"
"24/02/2024 01:00:00","24/02/2024","01:00:00","Yellow","4.35","0.731","0.252","0"
"24/02/2024 02:00:00","24/02/2024","02:00:00","Yellow","4.35","0.731","0.251","0"
"24/02/2024 03:00:00","24/02/2024","03:00:00","Yellow","4.35","0.73","0.253","0"
"24/02/2024 04:00:00","24/02/2024","04:00:00","Yellow","4.35","0.731","0.254","0"
"24/02/2024 05:00:00","24/02/2024","05:00:00","Yellow","4.34","0.73","0.254","0"
"24/02/2024 06:00:00","24/02/2024","06:00:00","Yellow","4.35","0.731","0.253","0"
"24/02/2024 07:00:00","24/02/2024","07:00:00","Yellow","4.35","0.732","0.248","0"
"24/02/2024 08:00:00","24/02/2024","08:00:00","Yellow","4.36","0.731","0.254","0"
"24/02/2024 09:00:00","24/02/2024","09:00:00","Yellow","4.36","0.73","0.252","0"
"24/02/2024 10:00:00","24/02/2024","10:00:00","Yellow","4.37","0.727","0.249","0"
"24/02/2024 11:00:00","24/02/2024","11:00:00","Yellow","4.36","0.726","0.251","0"
"24/02/2024 12:00:00","24/02/2024","12:00:00","Yellow","4.36","0.726","0.251","0"
"24/02/2024 13:00:00","24/02/2024","13:00:00","Yellow","4.36","0.726","0.251","0"
"24/02/2024 14:00:00","24/02/2024","14:00:00","Yellow","4.36","0.726","0.251","0"
"24/02/2024 15:00:00","24/02/2024","15:00:00","Yellow","4.36","0.726","0.251","0"
"24/02/2024 16:00:00","24/02/2024","16:00:00","Yellow","4.35","0.718","0.249","0"
"24/02/2024 17:00:00","24/02/2024","17:00:00","Yellow","4.35","0.718","0.249","0"
"24/02/2024 18:00:00","24/02/2024","18:00:00","Yellow","4.35","0.718","0.249","0"
"24/02/2024 19:00:00","24/02/2024","19:00:00","Yellow","4.33","0.709","0.248","0"
"24/02/2024 20:00:00","24/02/2024","20:00:00","Yellow","4.33","0.709","0.248","0"
"24/02/2024 21:00:00","24/02/2024","21:00:00","Yellow","4.33","0.709","0.248","0"
"24/02/2024 22:00:00","24/02/2024","22:00:00","Yellow","4.31","0.714","0.247","0"
"24/02/2024 23:00:00","24/02/2024","23:00:00","Yellow","4.31","0.714","0.247","0"
"25/02/2024 00:00:00","25/02/2024","00:00:00","Yellow","4.29","0.714","0.247","0"
"25/02/2024 01:00:00","25/02/2024","01:00:00","Yellow","4.3","0.714","0.247","0"
"25/02/2024 02:00:00","25/02/2024","02:00:00","Yellow","4.3","0.712","0.252","0"
"25/02/2024 03:00:00","25/02/2024","03:00:00","Yellow","4.3","0.712","0.252","0"
"25/02/2024 04:00:00","25/02/2024","04:00:00","Yellow","4.3","0.712","0.252","0"
"25/02/2024 05:00:00","25/02/2024","05:00:00","Yellow","4.28","0.712","0.243","0"
"25/02/2024 06:00:00","25/02/2024","06:00:00","Yellow","4.28","0.712","0.243","0"
"25/02/2024 07:00:00","25/02/2024","07:00:00","Yellow","4.28","0.697","0.245","0"
"25/02/2024 08:00:00","25/02/2024","08:00:00","Yellow","4.2","0.719","0.235","0"
"25/02/2024 09:00:00","25/02/2024","09:00:00","Yellow","4.2","0.719","0.336","0"
"25/02/2024 10:00:00","25/02/2024","10:00:00","Yellow","4.2","0.719","0.336","0"
"25/02/2024 11:00:00","25/02/2024","11:00:00","Yellow","4.2","0.719","0.336","0"
